concat latlng,Latitude,Longitude
-26.1831193 152.6528246,-26.1831193,152.6528246
-26.1909069 152.6717627,-26.1909069,152.6717627
-26.195485 152.6777243,-26.195485,152.6777243
-26.2011515 152.6671451,-26.2011515,152.6671451
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
26.233406 -98.3708503,26.233406,-98.3708503
-26.2619702 152.7115799,-26.2619702,152.7115799
-26.2619702 152.7115799,-26.2619702,152.7115799
-26.2619702 152.7115799,-26.2619702,152.7115799
-26.3204776 152.8670492,-26.3204776,152.8670492
-26.3354035 152.8236306,-26.3354035,152.8236306
-26.3355169 152.8280996,-26.3355169,152.8280996
-26.3358193 152.8301657,-26.3358193,152.8301657
-26.3361564 152.8232635,-26.3361564,152.8232635
-26.3362854 152.8291564,-26.3362854,152.8291564
-26.3363229 152.8293402,-26.3363229,152.8293402
-26.3363276 152.823321,-26.3363276,152.823321
-26.3367365 152.8288937,-26.3367365,152.8288937
-26.3381107 152.8312241,-26.3381107,152.8312241
-26.3419733 152.8205642,-26.3419733,152.8205642
-26.3549452 153.0547942,-26.3549452,153.0547942
-26.3552072 152.8622881,-26.3552072,152.8622881
-26.3554083 152.863483,-26.3554083,152.863483
-26.3554681 152.8643884,-26.3554681,152.8643884
-26.3556573 152.8574241,-26.3556573,152.8574241
-26.3557017 152.8632532,-26.3557017,152.8632532
-26.3557508 152.8595308,-26.3557508,152.8595308
-26.3560413 152.8595997,-26.3560413,152.8595997
-26.3560853 152.8601282,-26.3560853,152.8601282
-26.3570403 153.0132631,-26.3570403,153.0132631
-26.3581567 152.9903404,-26.3581567,152.9903404
-26.3584494 152.8451879,-26.3584494,152.8451879
-26.3599281 152.8383394,-26.3599281,152.8383394
-26.3611059 152.8476286,-26.3611059,152.8476286
-26.3626862 152.8559928,-26.3626862,152.8559928
-26.3637405 152.8562549,-26.3637405,152.8562549
-26.3647526 152.8543478,-26.3647526,152.8543478
-26.365131 152.8540162,-26.365131,152.8540162
-26.3651671 152.8577355,-26.3651671,152.8577355
-26.36558 152.8539243,-26.36558,152.8539243
-26.3656066 152.8535337,-26.3656066,152.8535337
-26.3656636 152.8540736,-26.3656636,152.8540736
-26.3656805 152.8553913,-26.3656805,152.8553913
-26.3657351 152.8533679,-26.3657351,152.8533679
-26.3660907 152.8530607,-26.3660907,152.8530607
-26.3662578 152.8555471,-26.3662578,152.8555471
-26.3663966 152.8566241,-26.3663966,152.8566241
-26.3664311 152.855751,-26.3664311,152.855751
-26.3665757 152.856199,-26.3665757,152.856199
-26.3665827 152.6780918,-26.3665827,152.6780918
-26.3667356 152.855211,-26.3667356,152.855211
-26.3668521 152.8486777,-26.3668521,152.8486777
-26.3670189 152.8553489,-26.3670189,152.8553489
-26.3670306 152.8568654,-26.3670306,152.8568654
-26.3673939 152.8581586,-26.3673939,152.8581586
-26.3675163 152.8576847,-26.3675163,152.8576847
-26.3692673 152.8545031,-26.3692673,152.8545031
-26.3703718 152.8594838,-26.3703718,152.8594838
-26.3738301 153.0161835,-26.3738301,153.0161835
-26.374016 153.0141599,-26.374016,153.0141599
-26.3741279 153.0147118,-26.3741279,153.0147118
-26.3741311 153.0144129,-26.3741311,153.0144129
-26.374778 153.0096522,-26.374778,153.0096522
-26.3749114 152.9867749,-26.3749114,152.9867749
-26.3760264 152.9884418,-26.3760264,152.9884418
-26.3763859 153.0375721,-26.3763859,153.0375721
-26.3769137 152.981955,-26.3769137,152.981955
-26.3772595 153.0380529,-26.3772595,153.0380529
-26.3778293 152.9479754,-26.3778293,152.9479754
-26.3787946 152.8389564,-26.3787946,152.8389564
-26.3792533 153.0268765,-26.3792533,153.0268765
-26.3792618 153.0264452,-26.3792618,153.0264452
-26.3797855 152.9395072,-26.3797855,152.9395072
-26.3803815 153.0276123,-26.3803815,153.0276123
-26.3806512 153.0316143,-26.3806512,153.0316143
-26.3824389 153.0340054,-26.3824389,153.0340054
-26.3827572 152.9266272,-26.3827572,152.9266272
-26.3829946 153.030004,-26.3829946,153.030004
-26.3829986 153.0302339,-26.3829986,153.0302339
-26.3830691 153.0303719,-26.3830691,153.0303719
-26.3834393 153.0303381,-26.3834393,153.0303381
-26.3837193 153.0361565,-26.3837193,153.0361565
-26.3838501 153.0982274,-26.3838501,153.0982274
-26.3840366 153.0340974,-26.3840366,153.0340974
-26.3840896 152.8486626,-26.3840896,152.8486626
-26.3841159 152.9439914,-26.3841159,152.9439914
-26.3845243 153.0973486,-26.3845243,153.0973486
-26.3846242 153.0972105,-26.3846242,153.0972105
-26.3847924 153.0832987,-26.3847924,153.0832987
-26.3849297 153.0971415,-26.3849297,153.0971415
-26.3851322 153.0980387,-26.3851322,153.0980387
-26.3852002 153.0950022,-26.3852002,153.0950022
-26.3852079 152.9283377,-26.3852079,152.9283377
-26.3860332 153.0878482,-26.3860332,153.0878482
-26.3860966 153.021614,-26.3860966,153.021614
-26.3861065 153.0224612,-26.3861065,153.0224612
-26.3862386 153.0944501,-26.3862386,153.0944501
-26.3862505 153.038249,-26.3862505,153.038249
-26.3863501 153.0091219,-26.3863501,153.0091219
-26.3863713 153.0317517,-26.3863713,153.0317517
-26.3864109 152.9112196,-26.3864109,152.9112196
-26.3864262 153.0884233,-26.3864262,153.0884233
-26.3864498 153.0310826,-26.3864498,153.0310826
-26.3864583 152.9350252,-26.3864583,152.9350252
-26.3866072 153.0956997,-26.3866072,153.0956997
-26.3867016 153.0381574,-26.3867016,153.0381574
-26.3867362 153.037547,-26.3867362,153.037547
-26.3867621 153.0871351,-26.3867621,153.0871351
-26.3868211 153.0226775,-26.3868211,153.0226775
-26.3869231 153.037524,-26.3869231,153.037524
-26.38698 152.9275332,-26.38698,152.9275332
-26.387236 153.0960143,-26.387236,153.0960143
-26.3873947 153.0953242,-26.3873947,153.0953242
-26.3874319 153.0955083,-26.3874319,153.0955083
-26.3874637 153.0069321,-26.3874637,153.0069321
-26.3875752 153.0950226,-26.3875752,153.0950226
-26.387805 152.902174,-26.387805,152.902174
-26.3878206 153.0953242,-26.3878206,153.0953242
